Date,refugee_numbers
2024-01-18,82976
2024-01-19,82621
2024-01-20,85587
2024-01-21,82184
2024-01-22,85547
2024-01-23,86706
2024-01-24,87003
2024-01-25,86045
2024-01-26,90634
2024-01-27,89821
2024-01-28,90475
2024-01-29,88264
2024-01-30,89411
2024-01-31,92279
2024-02-01,92817
2024-02-02,90625
2024-02-03,93357
2024-02-04,93133
2024-02-05,93589
2024-02-06,93209
2024-02-07,92696
2024-02-08,94151
2024-02-09,96856
2024-02-10,96130
2024-02-11,99453
2024-02-12,95288
2024-02-13,100063
2024-02-14,97834
2024-02-15,94585
2024-02-16,98624
2024-02-17,99873
2024-02-18,99987
2024-02-19,101603
2024-02-20,101400
2024-02-21,101763
2024-02-22,104319
2024-02-23,103204
2024-02-24,102281
2024-02-25,104516
2024-02-26,106838
2024-02-27,103325
2024-02-28,103941
2024-02-29,105712
2024-03-01,106913
2024-03-02,106464
2024-03-03,108679
2024-03-04,108822
2024-03-05,108624
2024-03-06,109589
2024-03-07,107061
2024-03-08,110977
2024-03-09,108195
2024-03-10,105036
2024-03-11,109977
2024-03-12,113627
2024-03-13,110507
2024-03-14,110472
2024-03-15,110938
2024-03-16,111131
2024-03-17,113617
2024-03-18,111553
2024-03-19,113067
2024-03-20,112516
2024-03-21,115746
2024-03-22,116592
2024-03-23,113311
2024-03-24,112204
2024-03-25,116219
2024-03-26,116513
2024-03-27,114622
2024-03-28,116136
2024-03-29,113068
2024-03-30,117992
2024-03-31,115661
2024-04-01,119406
2024-04-02,114839
2024-04-03,118764
2024-04-04,115190
2024-04-05,118064
2024-04-06,120566
2024-04-07,119183
2024-04-08,115484
2024-04-09,117968
2024-04-10,120434
2024-04-11,119813
2024-04-12,119851
2024-04-13,121616
2024-04-14,116913
2024-04-15,117346
2024-04-16,117202
2024-04-17,115641
2024-04-18,117592
2024-04-19,116053
2024-04-20,119872
2024-04-21,117297
2024-04-22,120886
2024-04-23,118019
2024-04-24,117398
2024-04-25,116875
2024-04-26,117859
2024-04-27,115400
2024-04-28,119190
2024-04-29,116751
2024-04-30,121218
2024-05-01,121232
2024-05-02,116733
2024-05-03,118593
2024-05-04,117238
2024-05-05,119757
2024-05-06,118693
2024-05-07,118383
2024-05-08,119225
2024-05-09,114772
2024-05-10,116325
2024-05-11,113231
2024-05-12,116471
2024-05-13,115374
2024-05-14,116666
2024-05-15,116763
2024-05-16,115291
2024-05-17,116025
2024-05-18,114124
2024-05-19,115133
2024-05-20,115559
2024-05-21,116638
2024-05-22,113517
2024-05-23,114360
2024-05-24,110431
2024-05-25,111274
2024-05-26,108300
2024-05-27,110720
2024-05-28,112417
2024-05-29,112353
2024-05-30,109062
2024-05-31,110597
2024-06-01,114457
2024-06-02,109865
2024-06-03,108426
2024-06-04,109136
2024-06-05,108401
2024-06-06,105774
2024-06-07,109610
2024-06-08,107908
2024-06-09,106620
2024-06-10,104318
2024-06-11,106023
2024-06-12,103693
2024-06-13,104396
2024-06-14,104014
2024-06-15,103987
2024-06-16,103984
2024-06-17,103429
2024-06-18,104968
2024-06-19,100990
2024-06-20,99533
2024-06-21,97634
2024-06-22,98876
2024-06-23,98332
2024-06-24,99483
2024-06-25,96915
2024-06-26,99062
2024-06-27,96624
2024-06-28,97621
2024-06-29,95150
2024-06-30,94311
2024-07-01,91225
2024-07-02,93362
2024-07-03,92526
2024-07-04,96161
2024-07-05,92044
2024-07-06,88209
2024-07-07,91373
2024-07-08,90022
2024-07-09,90010
2024-07-10,86556
2024-07-11,89162
2024-07-12,89357
2024-07-13,86519
2024-07-14,85670
2024-07-15,85025
2024-07-16,84379
2024-07-17,83590
2024-07-18,83437
2024-07-19,80828
2024-07-20,81933
2024-07-21,83493
2024-07-22,79898
2024-07-23,79550
2024-07-24,80462
2024-07-25,76599
2024-07-26,78254
2024-07-27,74307
2024-07-28,79009
2024-07-29,75448
2024-07-30,77629
2024-07-31,76182
2024-08-01,73583
2024-08-02,71829
2024-08-03,72180
2024-08-04,73335
2024-08-05,71850
2024-08-06,68907
2024-08-07,69817
2024-08-08,68256
2024-08-09,68668
2024-08-10,67130
2024-08-11,67265
2024-08-12,64242
2024-08-13,65755
2024-08-14,61901
2024-08-15,64459
2024-08-16,65294
2024-08-17,62563
2024-08-18,61269
2024-08-19,62106
2024-08-20,59463
2024-08-21,59552
2024-08-22,58092
2024-08-23,59833
2024-08-24,55955
2024-08-25,57589
2024-08-26,55934
2024-08-27,60513
2024-08-28,53725
2024-08-29,55982
2024-08-30,55381
2024-08-31,50430
