#Days,Gao,Segou,Tombouctou,Douentza,Kayes,Sikasso,Koulikoro,Menaka,Kidal,Bamako
57,1,1,1,1,1,1,1,1,0,0
58,1,1,1,1,1,1,1,1,0,0
59,1,1,1,1,1,1,1,1,0,0
60,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1,1,1,0
62,1,1,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1,1,0
64,1,1,1,1,1,1,1,1,0,0
65,1,1,1,1,1,1,1,1,0,0
66,1,1,1,1,1,1,1,0,0,0
67,1,1,1,1,1,1,1,1,0,0
68,1,1,1,1,1,1,1,1,1,0
69,1,1,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,1,1,1,0
71,1,1,1,1,1,1,1,1,0,0
72,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1,1,0
74,1,1,1,1,1,1,1,1,1,0
75,1,1,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1,0,0
77,1,1,1,1,1,1,1,1,0,0
78,1,1,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,1,0
80,1,1,1,1,1,1,1,1,0,0
81,1,1,1,1,1,1,1,1,1,0
82,1,1,1,1,1,1,1,1,1,1
83,1,1,1,1,1,1,1,1,1,0
84,1,1,1,1,1,1,1,1,1,0
85,1,1,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,1,0,0
87,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1,0
91,1,1,1,1,1,1,1,1,1,0
92,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1,1,0
94,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,0,0
96,1,1,1,1,1,1,1,1,1,0
97,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1,0,0
99,1,1,1,1,1,1,1,1,1,0
100,1,1,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1,1,1,0
103,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1,1,1,1
109,1,1,1,1,1,1,1,1,1,1
110,1,1,1,1,1,1,0,0,0,0
111,1,1,1,1,1,1,1,1,1,0
112,1,1,1,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1,1,1,0
114,1,1,1,1,1,1,1,1,1,0
115,1,1,1,1,1,1,1,1,1,0
116,1,1,1,1,1,1,1,1,1,0
117,1,1,1,1,1,1,1,1,0,0
118,1,1,1,1,1,1,1,1,0,0
119,1,1,1,1,1,1,1,1,0,0
120,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1,1,0,0
122,1,1,1,1,1,1,1,0,0,0
123,1,1,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1,1,1,0
125,1,1,1,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1,1,1,0
127,1,1,1,1,1,1,1,1,1,0
128,1,1,1,1,1,1,1,1,1,0
129,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,1,1,1,1,1,0
131,1,1,1,1,1,1,1,1,1,0
132,1,1,1,1,1,1,1,1,1,0
133,1,1,1,1,1,1,1,1,0,0
134,1,1,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1,0
136,1,1,1,1,1,1,1,1,1,0
137,1,1,1,1,1,1,1,1,0,0
138,1,1,1,1,1,1,1,1,1,0
139,1,1,1,1,1,1,1,1,1,1
140,1,1,1,1,1,1,1,1,0,0
141,1,1,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1,1,0
143,1,1,1,1,1,1,0,0,0,0
144,1,1,1,1,1,1,1,1,0,0
145,1,1,1,1,1,1,1,1,1,0
146,1,1,1,1,1,1,1,1,1,0
147,1,1,1,1,1,1,1,1,0,0
148,1,1,1,1,1,1,1,1,0,0
149,1,1,1,1,1,1,1,1,1,0
150,1,1,1,1,1,1,1,1,1,0
151,1,1,1,1,1,1,1,1,0,0
152,1,1,1,1,1,1,1,0,0,0
153,1,1,1,1,1,1,1,1,1,0
154,1,1,1,1,1,1,0,0,0,0
155,1,1,1,1,1,1,1,1,0,0
156,1,1,1,1,1,1,1,1,0,0
157,1,1,1,1,1,1,1,1,0,0
158,1,1,1,1,1,1,1,0,0,0
159,1,1,1,1,1,1,1,1,0,0
160,1,1,1,1,1,1,1,0,0,0
161,1,1,1,1,1,1,1,1,0,0
162,1,1,1,1,1,1,1,1,1,0
163,1,1,1,1,1,1,1,0,0,0
164,1,1,1,1,1,1,1,1,0,0
165,1,1,1,1,1,1,1,0,0,0
166,1,1,1,1,1,1,1,0,0,0
167,1,1,1,1,1,1,1,1,1,0
168,1,1,1,1,1,1,0,0,0,0
169,1,1,1,1,1,1,0,0,0,0
170,1,1,1,1,1,1,1,1,1,0
171,1,1,1,1,1,1,1,1,0,0
172,1,1,1,1,1,1,1,1,0,0
173,1,1,1,1,1,1,1,1,0,0
174,1,1,1,1,1,1,1,0,0,0
175,1,1,1,1,1,1,1,1,0,0
176,1,1,1,1,1,1,1,0,0,0
177,1,1,1,1,1,1,0,0,0,0
178,1,1,1,1,1,1,1,1,1,0
179,1,1,1,1,1,0,0,0,0,0
180,1,1,1,1,1,1,1,0,0,0
181,1,1,1,1,1,1,1,0,0,0
182,1,1,1,1,1,1,1,0,0,0
183,1,1,1,1,1,1,0,0,0,0
184,1,1,1,1,1,1,0,0,0,0
185,1,1,1,1,1,1,0,0,0,0
186,1,1,1,1,0,0,0,0,0,0
187,1,1,1,1,1,0,0,0,0,0
188,1,1,1,1,1,0,0,0,0,0
189,1,1,1,1,1,1,0,0,0,0
190,1,1,1,1,1,0,0,0,0,0
191,1,1,1,1,1,0,0,0,0,0
192,1,1,1,1,1,1,0,0,0,0
193,1,1,1,1,1,0,0,0,0,0
194,1,1,1,1,0,0,0,0,0,0
195,1,1,1,1,0,0,0,0,0,0
196,1,1,1,1,0,0,0,0,0,0
197,1,1,1,1,1,1,0,0,0,0
198,1,1,1,1,1,0,0,0,0,0
199,1,1,1,1,1,1,0,0,0,0
200,1,1,1,1,1,0,0,0,0,0
201,1,1,1,1,0,0,0,0,0,0
202,1,1,1,1,1,0,0,0,0,0
203,1,1,1,1,1,0,0,0,0,0
204,1,1,1,1,1,0,0,0,0,0
205,1,1,1,1,0,0,0,0,0,0
206,1,1,1,1,0,0,0,0,0,0
207,1,1,1,1,1,1,1,1,0,0
208,1,1,1,1,1,0,0,0,0,0
209,1,1,1,0,0,0,0,0,0,0
210,1,1,1,1,0,0,0,0,0,0
211,1,1,1,0,0,0,0,0,0,0
212,1,1,1,1,0,0,0,0,0,0
213,1,1,1,0,0,0,0,0,0,0
214,1,1,1,1,0,0,0,0,0,0
215,1,1,1,1,0,0,0,0,0,0
216,1,1,1,0,0,0,0,0,0,0
217,1,1,1,0,0,0,0,0,0,0
218,1,1,1,1,0,0,0,0,0,0
219,1,1,1,1,0,0,0,0,0,0
220,1,1,1,0,0,0,0,0,0,0
221,1,1,1,1,1,0,0,0,0,0
222,1,1,1,0,0,0,0,0,0,0
223,1,1,1,1,1,0,0,0,0,0
224,1,1,1,1,0,0,0,0,0,0
225,1,1,1,0,0,0,0,0,0,0
226,1,1,0,0,0,0,0,0,0,0
227,1,1,1,0,0,0,0,0,0,0
228,1,1,1,0,0,0,0,0,0,0
229,1,1,1,0,0,0,0,0,0,0
230,1,1,1,0,0,0,0,0,0,0
231,1,1,1,0,0,0,0,0,0,0
232,1,1,1,0,0,0,0,0,0,0
233,1,1,0,0,0,0,0,0,0,0
234,1,1,1,0,0,0,0,0,0,0
235,1,1,1,0,0,0,0,0,0,0
236,1,1,1,0,0,0,0,0,0,0
237,1,1,1,0,0,0,0,0,0,0
238,1,1,1,1,0,0,0,0,0,0
239,1,1,1,1,0,0,0,0,0,0
240,1,1,0,0,0,0,0,0,0,0
241,1,1,0,0,0,0,0,0,0,0
242,1,1,1,0,0,0,0,0,0,0
243,1,1,1,0,0,0,0,0,0,0
244,1,1,0,0,0,0,0,0,0,0
245,1,1,0,0,0,0,0,0,0,0
246,1,1,1,1,0,0,0,0,0,0
247,1,0,0,0,0,0,0,0,0,0
248,1,1,1,0,0,0,0,0,0,0
249,1,1,1,0,0,0,0,0,0,0
250,1,1,0,0,0,0,0,0,0,0
251,1,1,1,1,0,0,0,0,0,0
252,1,0,0,0,0,0,0,0,0,0
253,1,1,1,0,0,0,0,0,0,0
254,1,0,0,0,0,0,0,0,0,0
255,1,0,0,0,0,0,0,0,0,0
256,1,0,0,0,0,0,0,0,0,0
257,1,0,0,0,0,0,0,0,0,0
258,1,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0
260,1,0,0,0,0,0,0,0,0,0
261,1,1,0,0,0,0,0,0,0,0
262,1,1,1,0,0,0,0,0,0,0
263,1,0,0,0,0,0,0,0,0,0
264,1,0,0,0,0,0,0,0,0,0
265,1,0,0,0,0,0,0,0,0,0
266,1,1,0,0,0,0,0,0,0,0
267,1,1,1,0,0,0,0,0,0,0
268,1,1,0,0,0,0,0,0,0,0
269,1,1,1,0,0,0,0,0,0,0
270,1,0,0,0,0,0,0,0,0,0
271,1,1,1,0,0,0,0,0,0,0
272,1,1,1,0,0,0,0,0,0,0
273,1,1,0,0,0,0,0,0,0,0
274,1,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0
276,1,0,0,0,0,0,0,0,0,0
277,1,1,1,0,0,0,0,0,0,0
278,1,0,0,0,0,0,0,0,0,0
279,1,0,0,0,0,0,0,0,0,0
280,1,0,0,0,0,0,0,0,0,0
281,1,0,0,0,0,0,0,0,0,0
282,1,1,0,0,0,0,0,0,0,0
283,1,1,1,0,0,0,0,0,0,0
284,1,1,0,0,0,0,0,0,0,0
285,1,1,0,0,0,0,0,0,0,0
286,1,1,0,0,0,0,0,0,0,0
287,1,0,0,0,0,0,0,0,0,0
288,1,0,0,0,0,0,0,0,0,0
289,1,1,1,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0
291,1,0,0,0,0,0,0,0,0,0
292,1,0,0,0,0,0,0,0,0,0
293,1,1,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0
295,1,0,0,0,0,0,0,0,0,0
296,1,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0
300,1,0,0,0,0,0,0,0,0,0
301,1,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0
306,1,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0
308,1,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0
312,1,0,0,0,0,0,0,0,0,0
313,1,1,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0
318,1,1,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0
320,1,0,0,0,0,0,0,0,0,0
321,1,0,0,0,0,0,0,0,0,0
322,1,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0
334,1,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0
338,1,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0
341,1,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0
343,1,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0
355,1,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0
357,1,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0
364,1,0,0,0,0,0,0,0,0,0
365,1,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0
387,1,1,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0
390,1,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0
393,1,1,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0
399,1,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0
401,1,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0
408,1,1,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0
410,1,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0
437,1,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0
441,1,0,0,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0
447,1,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0,0
453,1,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0,0,0
457,1,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0
472,1,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0,0,0
479,1,1,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0
481,1,0,0,0,0,0,0,0,0,0
482,1,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0
484,1,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0
487,1,0,0,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0,0,0
490,1,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0
492,1,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0,0
504,1,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,0
506,1,1,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0
511,1,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0,0,0,0
515,1,0,0,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0,0,0,0
519,1,0,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0,0
528,1,1,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0
538,0,0,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0,0,0,0
550,1,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0,0,0,0
558,0,0,0,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0,0,0,0
564,1,0,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0,0,0
567,1,0,0,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0,0,0
569,1,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0,0,0
573,1,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,0
588,1,0,0,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0,0,0,0
592,1,1,0,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0,0,0,0
595,1,0,0,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0,0,0,0
597,0,0,0,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0
600,1,0,0,0,0,0,0,0,0,0
601,1,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0,0,0,0
605,1,0,0,0,0,0,0,0,0,0
606,1,1,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,0,0,0
609,1,0,0,0,0,0,0,0,0,0
610,1,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,0
613,1,0,0,0,0,0,0,0,0,0
614,0,0,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0,0
618,0,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0,0
627,1,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0
